,customer_id,product_id,interaction_type,interaction_date
200,CID0892,P3665,clicked,2024-06-12
201,CID0703,P9089,purchased,2024-05-17
202,CID0290,P9813,clicked,2024-05-14
203,CID0243,P7308,clicked,2024-03-18
204,CID0725,P5669,viewed,2024-01-04
205,CID0953,P5085,clicked,2024-07-15
206,CID0947,P7513,purchased,2024-07-13
207,CID0623,P1615,clicked,2024-02-21
208,CID0783,P9842,purchased,2024-07-20
209,CID0359,P7189,purchased,2024-01-27
210,CID0438,P3997,viewed,2024-04-14
211,CID0972,P5672,purchased,2024-03-15
212,CID0773,P4949,viewed,2024-06-13
213,CID0313,P7893,purchased,2024-01-26
214,CID0211,P5085,viewed,2024-09-01
215,CID0666,P1484,viewed,2024-06-08
216,CID0339,P1539,viewed,2024-05-09
217,CID0865,P3665,viewed,2024-03-29
218,CID0444,P5994,purchased,2024-02-02
219,CID0064,P5741,clicked,2024-06-11
220,CID0774,P9842,purchased,2024-04-16
221,CID0387,P1284,viewed,2024-09-15
222,CID0664,P5994,viewed,2024-03-08
223,CID0920,P5069,purchased,2024-02-21
224,CID0943,P9068,purchased,2024-08-04
225,CID0882,P6344,clicked,2024-01-23
226,CID0734,P9842,viewed,2024-03-20
227,CID0746,P1284,clicked,2024-07-16
228,CID0698,P1539,purchased,2024-09-05
229,CID0071,P1284,purchased,2024-07-15
230,CID0780,P6839,viewed,2024-05-18
231,CID0061,P6603,viewed,2024-01-28
232,CID0700,P3106,purchased,2024-05-27
233,CID0670,P3696,purchased,2024-08-25
234,CID0803,P9202,clicked,2024-09-17
235,CID0047,P3997,viewed,2024-06-12
236,CID0833,P3997,purchased,2024-01-17
237,CID0562,P9633,clicked,2024-05-17
238,CID0046,P7308,viewed,2024-05-07
239,CID0283,P5728,viewed,2024-07-20
240,CID0272,P9089,viewed,2024-02-05
241,CID0567,P7513,clicked,2024-05-05
242,CID0211,P4531,clicked,2024-01-14
243,CID0116,P4587,purchased,2024-01-29
244,CID0383,P4587,purchased,2024-08-04
245,CID0519,P3665,clicked,2024-07-07
246,CID0558,P5640,clicked,2024-07-13
247,CID0696,P8218,clicked,2024-09-11
248,CID0027,P1539,viewed,2024-02-13
249,CID0313,P9842,viewed,2024-09-15
250,CID0384,P9854,viewed,2024-08-22
251,CID0888,P8218,viewed,2024-01-07
252,CID0119,P5741,clicked,2024-07-05
253,CID0557,P6493,clicked,2024-05-08
254,CID0300,P6603,clicked,2024-03-18
255,CID0246,P8218,clicked,2024-01-23
256,CID0535,P6839,clicked,2024-05-21
257,CID0903,P3106,clicked,2024-09-03
258,CID0029,P6422,purchased,2024-08-24
259,CID0408,P5741,clicked,2024-04-25
260,CID0370,P6422,purchased,2024-09-07
261,CID0572,P1112,viewed,2024-08-06
262,CID0521,P1484,clicked,2024-08-09
263,CID0149,P6493,clicked,2024-09-15
264,CID0516,P5669,clicked,2024-01-10
265,CID0876,P9842,viewed,2024-01-03
266,CID0744,P6839,clicked,2024-02-03
267,CID0703,P3665,clicked,2024-01-18
268,CID0421,P5640,viewed,2024-03-03
269,CID0283,P8104,clicked,2024-03-21
270,CID0289,P3576,clicked,2024-07-10
271,CID0067,P9854,clicked,2024-09-14
272,CID0600,P5640,viewed,2024-07-30
273,CID0701,P6344,purchased,2024-05-17
274,CID0311,P7189,purchased,2024-07-05
275,CID0333,P1512,viewed,2024-07-26
276,CID0343,P5640,clicked,2024-01-01
277,CID0109,P5085,clicked,2024-09-05
278,CID0562,P8282,viewed,2024-01-10
279,CID0645,P8218,purchased,2024-01-04
280,CID0704,P6839,viewed,2024-05-21
281,CID0901,P6608,purchased,2024-03-01
282,CID0997,P5741,clicked,2024-02-13
283,CID0674,P8282,viewed,2024-09-17
284,CID0412,P7893,clicked,2024-09-03
285,CID0437,P6422,purchased,2024-08-05
286,CID0562,P6344,purchased,2024-04-05
287,CID0619,P7189,viewed,2024-01-11
288,CID0431,P7308,clicked,2024-06-12
289,CID0375,P5002,purchased,2024-07-12
290,CID0711,P6344,clicked,2024-03-18
291,CID0572,P6603,clicked,2024-08-19
292,CID0971,P8104,purchased,2024-06-12
293,CID0669,P4587,purchased,2024-05-06
294,CID0985,P8218,clicked,2024-04-13
295,CID0992,P3106,clicked,2024-05-01
296,CID0989,P4949,purchased,2024-07-11
297,CID0354,P1689,viewed,2024-07-24
298,CID0862,P1112,viewed,2024-05-07
299,CID0638,P1284,clicked,2024-08-16
300,CID0527,P5069,viewed,2024-02-14
301,CID0434,P3997,clicked,2024-03-12
302,CID0595,P4587,clicked,2024-02-03
303,CID0680,P1284,purchased,2024-06-21
304,CID0814,P4587,purchased,2024-07-22
305,CID0341,P7308,clicked,2024-02-26
306,CID0900,P6603,purchased,2024-05-26
307,CID0016,P8218,purchased,2024-01-21
308,CID0169,P9842,purchased,2024-03-11
309,CID0888,P7308,clicked,2024-01-01
310,CID0648,P9068,purchased,2024-05-14
311,CID0917,P9633,purchased,2024-08-23
312,CID0643,P4587,viewed,2024-08-06
313,CID0428,P5994,viewed,2024-01-31
314,CID0241,P2181,purchased,2024-06-17
315,CID0522,P1112,viewed,2024-03-17
316,CID0241,P3997,purchased,2024-07-23
317,CID0560,P6603,clicked,2024-04-28
318,CID0335,P7629,clicked,2024-03-25
319,CID0112,P7513,clicked,2024-07-31
320,CID0188,P2181,viewed,2024-09-08
321,CID0133,P6839,purchased,2024-03-02
322,CID0139,P5085,viewed,2024-06-01
323,CID0797,P9068,purchased,2024-02-05
324,CID0474,P9089,purchased,2024-09-11
325,CID0741,P6184,clicked,2024-06-02
326,CID0205,P7189,clicked,2024-09-02
327,CID0683,P5741,purchased,2024-05-13
328,CID0227,P6344,viewed,2024-06-28
329,CID0797,P9842,clicked,2024-08-12
330,CID0371,P5994,clicked,2024-04-27
331,CID0875,P3696,purchased,2024-04-21
332,CID0986,P8741,purchased,2024-03-14
333,CID0491,P5002,purchased,2024-03-20
334,CID0916,P7513,purchased,2024-07-01
335,CID0857,P9202,purchased,2024-01-14
336,CID0824,P9202,clicked,2024-07-30
337,CID0835,P6839,purchased,2024-05-22
338,CID0732,P5085,purchased,2024-09-12
339,CID0787,P9202,viewed,2024-04-26
340,CID0388,P6839,purchased,2024-06-04
341,CID0721,P3696,purchased,2024-06-16
342,CID0897,P6493,clicked,2024-01-09
343,CID0658,P9089,viewed,2024-08-14
344,CID0986,P8282,clicked,2024-02-19
345,CID0162,P9068,viewed,2024-05-18
346,CID0819,P8104,viewed,2024-08-26
347,CID0078,P5085,viewed,2024-05-23
348,CID0452,P1615,clicked,2024-09-22
349,CID0779,P5069,clicked,2024-02-20
350,CID0594,P2181,clicked,2024-05-17
351,CID0223,P6839,clicked,2024-09-05
352,CID0566,P5002,viewed,2024-02-05
353,CID0503,P7189,purchased,2024-01-16
354,CID0815,P1112,purchased,2024-06-21
355,CID0206,P4587,viewed,2024-01-05
356,CID0989,P9854,purchased,2024-09-12
357,CID0878,P7308,clicked,2024-05-13
358,CID0333,P1539,viewed,2024-06-21
359,CID0523,P5994,clicked,2024-05-21
360,CID0306,P3665,clicked,2024-06-06
361,CID0715,P6603,viewed,2024-03-27
362,CID0804,P6608,clicked,2024-07-03
363,CID0821,P6422,purchased,2024-06-01
364,CID0976,P7513,viewed,2024-01-03
365,CID0741,P9813,purchased,2024-05-15
366,CID0810,P9089,purchased,2024-04-29
367,CID0009,P5669,purchased,2024-08-17
368,CID0558,P9813,viewed,2024-03-01
369,CID0962,P3576,purchased,2024-04-01
370,CID0219,P6184,viewed,2024-07-18
371,CID0348,P1689,viewed,2024-04-08
372,CID0666,P1615,viewed,2024-06-09
373,CID0026,P8282,clicked,2024-01-15
374,CID0254,P5672,viewed,2024-02-29
375,CID0180,P5640,clicked,2024-09-13
376,CID0290,P8741,viewed,2024-09-03
377,CID0782,P6422,clicked,2024-04-04
378,CID0546,P3576,clicked,2024-08-11
379,CID0321,P7513,clicked,2024-05-20
380,CID0173,P9089,clicked,2024-06-04
381,CID0568,P9068,clicked,2024-03-09
382,CID0358,P2181,clicked,2024-07-18
383,CID0766,P3106,clicked,2024-02-05
384,CID0564,P1689,clicked,2024-09-17
385,CID0790,P5069,viewed,2024-01-22
386,CID0914,P4587,viewed,2024-08-03
387,CID0434,P1689,purchased,2024-06-01
388,CID0714,P8218,clicked,2024-04-27
389,CID0646,P3696,purchased,2024-05-25
390,CID0854,P3106,purchased,2024-08-28
391,CID0996,P6184,purchased,2024-05-02
392,CID0888,P1539,clicked,2024-06-02
393,CID0474,P7513,viewed,2024-09-08
394,CID0417,P5640,clicked,2024-01-09
395,CID0616,P5672,viewed,2024-01-07
396,CID0240,P1512,viewed,2024-07-19
397,CID0787,P2181,clicked,2024-06-24
398,CID0089,P8741,purchased,2024-02-09
399,CID0760,P9488,viewed,2024-08-30
400,CID0203,P3997,viewed,2024-09-02
401,CID0048,P6839,purchased,2024-03-23
402,CID0252,P7189,viewed,2024-03-21
403,CID0551,P7308,purchased,2024-06-04
404,CID0013,P6344,clicked,2024-06-17
405,CID0441,P7629,clicked,2024-02-26
406,CID0011,P9068,purchased,2024-04-17
407,CID0164,P1689,clicked,2024-02-20
408,CID0050,P1484,purchased,2024-06-19
409,CID0123,P8218,clicked,2024-01-29
410,CID0036,P5741,viewed,2024-05-17
411,CID0775,P3997,viewed,2024-07-30
412,CID0420,P7629,viewed,2024-08-30
413,CID0752,P4587,clicked,2024-03-13
414,CID0966,P6422,clicked,2024-07-10
415,CID0328,P7893,purchased,2024-08-25
416,CID0895,P9068,clicked,2024-09-02
417,CID0537,P5002,viewed,2024-07-16
418,CID0859,P5672,purchased,2024-04-30
419,CID0895,P5728,viewed,2024-01-10
420,CID0841,P3696,clicked,2024-06-04
421,CID0132,P7629,clicked,2024-05-24
422,CID0758,P5085,clicked,2024-01-09
423,CID0515,P8741,clicked,2024-06-01
424,CID0546,P3997,clicked,2024-08-10
425,CID0877,P1512,viewed,2024-08-15
426,CID0948,P3106,clicked,2024-04-07
427,CID0555,P8741,clicked,2024-07-18
428,CID0202,P5728,clicked,2024-02-18
429,CID0378,P3696,viewed,2024-02-25
430,CID0545,P5069,clicked,2024-06-17
431,CID0849,P6344,clicked,2024-08-11
432,CID0936,P2181,clicked,2024-05-04
433,CID0863,P6839,viewed,2024-07-11
434,CID0493,P2181,purchased,2024-07-12
435,CID0059,P3665,viewed,2024-03-21
436,CID0606,P5672,viewed,2024-02-27
437,CID0840,P5669,clicked,2024-01-14
438,CID0328,P6422,viewed,2024-01-16
439,CID0654,P4949,viewed,2024-08-05
440,CID0550,P6184,purchased,2024-04-27
441,CID0257,P9068,purchased,2024-03-02
442,CID0269,P1539,viewed,2024-09-17
443,CID0836,P7893,viewed,2024-01-14
444,CID0049,P5672,viewed,2024-04-14
445,CID0344,P3576,clicked,2024-07-07
446,CID0216,P5728,viewed,2024-07-13
447,CID0094,P8218,purchased,2024-05-16
448,CID0221,P5002,viewed,2024-04-11
449,CID0724,P4587,clicked,2024-06-23
450,CID0264,P5640,clicked,2024-05-26
451,CID0169,P1484,viewed,2024-02-10
452,CID0488,P5640,purchased,2024-01-06
453,CID0453,P6608,clicked,2024-07-30
454,CID0195,P6839,viewed,2024-07-05
455,CID0013,P7308,viewed,2024-07-30
456,CID0207,P5640,viewed,2024-01-22
457,CID0652,P8104,clicked,2024-01-26
458,CID0543,P6603,viewed,2024-05-22
459,CID0943,P7893,viewed,2024-04-20
460,CID0087,P3576,clicked,2024-07-15
461,CID0537,P1539,purchased,2024-08-11
462,CID0946,P8741,purchased,2024-04-18
463,CID0685,P8282,purchased,2024-07-15
464,CID0326,P4949,viewed,2024-07-02
465,CID0312,P7893,purchased,2024-01-22
466,CID0275,P5640,purchased,2024-06-16
467,CID0594,P7513,purchased,2024-01-19
468,CID0783,P8741,purchased,2024-07-17
469,CID0563,P6422,purchased,2024-09-20
470,CID0552,P6184,purchased,2024-08-28
471,CID0254,P1539,viewed,2024-09-10
472,CID0424,P5728,clicked,2024-02-12
473,CID0071,P4587,clicked,2024-07-07
474,CID0807,P5669,clicked,2024-04-15
475,CID0579,P1112,clicked,2024-07-19
476,CID0995,P8282,purchased,2024-01-12
477,CID0558,P3665,clicked,2024-01-16
478,CID0023,P1484,purchased,2024-07-22
479,CID0512,P5085,viewed,2024-04-23
480,CID0350,P9089,purchased,2024-07-08
481,CID0836,P3576,clicked,2024-09-23
482,CID0641,P9854,purchased,2024-02-10
483,CID0504,P3576,purchased,2024-08-09
484,CID0816,P9202,viewed,2024-04-01
485,CID0246,P9842,purchased,2024-02-23
486,CID0260,P9202,clicked,2024-08-09
487,CID0877,P5994,clicked,2024-03-23
488,CID0789,P5672,purchased,2024-01-18
489,CID0004,P5994,viewed,2024-03-14
490,CID0423,P5672,viewed,2024-01-12
491,CID0730,P5069,viewed,2024-07-01
492,CID0180,P6184,clicked,2024-05-17
493,CID0263,P6344,purchased,2024-07-31
494,CID0688,P9089,purchased,2024-05-12
495,CID0908,P8218,viewed,2024-06-05
496,CID0592,P3106,viewed,2024-01-14
497,CID0848,P8191,purchased,2024-03-18
498,CID0217,P1484,clicked,2024-02-04
499,CID0318,P4949,clicked,2024-03-06
500,CID0327,P4949,viewed,2024-05-15
501,CID0594,P2181,clicked,2024-02-26
502,CID0152,P6608,purchased,2024-02-02
503,CID0449,P5669,purchased,2024-09-06
504,CID0302,P1512,purchased,2024-01-05
505,CID0648,P9842,viewed,2024-02-19
506,CID0413,P3997,viewed,2024-07-07
507,CID0830,P7893,viewed,2024-08-07
508,CID0413,P2181,purchased,2024-09-11
509,CID0685,P6608,purchased,2024-01-13
510,CID0816,P6608,clicked,2024-03-17
511,CID0740,P6493,purchased,2024-05-03
512,CID0283,P8741,clicked,2024-07-27
513,CID0755,P5069,viewed,2024-04-21
514,CID0300,P5741,viewed,2024-04-06
515,CID0656,P3997,purchased,2024-09-21
516,CID0065,P6493,clicked,2024-07-07
517,CID0636,P5728,viewed,2024-05-26
518,CID0800,P6344,clicked,2024-02-10
519,CID0704,P7893,viewed,2024-05-02
520,CID0761,P1615,clicked,2024-04-01
521,CID0871,P9202,clicked,2024-06-14
522,CID0786,P1539,purchased,2024-08-06
523,CID0627,P3696,viewed,2024-03-21
524,CID0803,P8191,clicked,2024-02-10
525,CID0966,P5994,viewed,2024-06-26
526,CID0679,P6422,viewed,2024-05-10
527,CID0886,P1284,viewed,2024-01-26
528,CID0831,P6839,clicked,2024-03-13
529,CID0181,P1689,purchased,2024-04-29
530,CID0412,P6184,viewed,2024-02-20
531,CID0105,P2181,clicked,2024-05-16
532,CID0522,P7893,purchased,2024-05-15
533,CID0377,P1689,clicked,2024-05-22
534,CID0530,P6493,purchased,2024-06-23
535,CID0466,P3997,purchased,2024-02-26
536,CID0058,P9813,purchased,2024-04-27
537,CID0992,P6839,viewed,2024-04-25
538,CID0880,P6422,purchased,2024-07-30
539,CID0933,P8191,viewed,2024-05-17
540,CID0408,P1112,purchased,2024-06-02
541,CID0377,P4949,purchased,2024-02-23
542,CID0774,P9813,viewed,2024-01-15
543,CID0258,P9633,clicked,2024-02-11
544,CID0420,P5002,purchased,2024-04-30
545,CID0111,P5994,clicked,2024-07-30
546,CID0342,P1539,purchased,2024-06-22
547,CID0912,P5085,clicked,2024-01-10
548,CID0952,P8282,viewed,2024-01-09
549,CID0904,P8282,purchased,2024-03-06
550,CID0749,P5069,purchased,2024-05-04
551,CID0054,P9633,clicked,2024-04-14
552,CID0584,P3576,purchased,2024-08-09
553,CID0148,P5640,clicked,2024-03-01
554,CID0510,P5069,purchased,2024-04-20
555,CID0179,P8741,viewed,2024-05-23
556,CID0955,P5002,purchased,2024-08-02
557,CID0398,P3665,purchased,2024-09-04
558,CID0964,P1512,clicked,2024-05-05
559,CID0945,P7189,viewed,2024-03-15
560,CID0585,P8104,viewed,2024-04-16
561,CID0722,P9488,purchased,2024-04-09
562,CID0764,P6422,purchased,2024-09-14
563,CID0074,P3106,clicked,2024-06-25
564,CID0788,P5741,clicked,2024-07-27
565,CID0237,P9633,viewed,2024-06-18
566,CID0382,P5069,purchased,2024-01-17
567,CID0126,P6603,clicked,2024-08-19
568,CID0080,P3576,purchased,2024-05-19
569,CID0121,P5002,purchased,2024-07-28
570,CID0683,P2181,clicked,2024-05-24
571,CID0992,P9488,clicked,2024-03-30
572,CID0123,P6608,clicked,2024-04-29
573,CID0332,P8191,purchased,2024-05-18
574,CID0032,P9202,purchased,2024-09-08
575,CID0902,P8191,clicked,2024-06-14
576,CID0073,P7513,purchased,2024-07-05
577,CID0894,P6344,viewed,2024-08-25
578,CID0620,P4531,clicked,2024-01-15
579,CID0185,P1539,viewed,2024-04-08
580,CID0493,P9202,purchased,2024-08-14
581,CID0268,P1484,clicked,2024-04-27
582,CID0530,P8218,purchased,2024-03-21
583,CID0622,P3696,purchased,2024-01-19
584,CID0683,P6493,clicked,2024-01-11
585,CID0758,P3106,clicked,2024-04-22
586,CID0077,P5085,viewed,2024-02-27
587,CID0421,P5728,purchased,2024-07-28
588,CID0642,P9488,viewed,2024-03-02
589,CID0118,P6184,clicked,2024-06-01
590,CID0059,P1484,clicked,2024-07-30
591,CID0092,P9488,clicked,2024-09-05
592,CID0573,P7308,purchased,2024-02-16
593,CID0926,P9633,purchased,2024-06-09
594,CID0938,P1284,viewed,2024-01-19
595,CID0191,P9813,viewed,2024-04-13
596,CID0443,P3106,purchased,2024-09-23
597,CID0759,P5069,viewed,2024-06-16
598,CID0787,P1689,purchased,2024-09-03
599,CID0376,P8104,viewed,2024-08-22
600,CID0640,P3696,purchased,2024-06-22
601,CID0999,P1512,viewed,2024-09-15
602,CID0775,P6839,purchased,2024-06-27
603,CID0895,P1539,purchased,2024-01-01
604,CID0011,P1539,viewed,2024-03-10
605,CID0449,P1284,viewed,2024-03-29
606,CID0083,P4949,clicked,2024-04-23
607,CID0421,P9089,viewed,2024-01-12
608,CID0782,P8104,clicked,2024-03-20
609,CID0133,P9854,clicked,2024-01-23
610,CID0763,P8282,viewed,2024-03-22
611,CID0193,P8741,purchased,2024-04-03
612,CID0353,P1484,purchased,2024-04-30
613,CID0389,P7513,purchased,2024-02-15
614,CID0901,P8191,viewed,2024-05-28
615,CID0422,P9813,clicked,2024-09-04
616,CID0585,P8282,clicked,2024-07-29
617,CID0977,P5002,purchased,2024-08-12
618,CID0925,P9854,purchased,2024-07-24
619,CID0245,P5672,clicked,2024-04-23
620,CID0173,P9854,viewed,2024-05-11
621,CID0868,P3576,clicked,2024-03-23
622,CID0733,P5002,clicked,2024-07-11
623,CID0797,P6608,purchased,2024-08-08
624,CID0844,P1112,purchased,2024-07-13
625,CID0307,P8191,clicked,2024-03-10
626,CID0043,P8104,clicked,2024-08-06
627,CID0122,P3665,clicked,2024-04-22
628,CID0721,P1689,purchased,2024-07-04
629,CID0831,P3576,clicked,2024-09-13
630,CID0824,P1112,viewed,2024-03-25
631,CID0179,P5728,clicked,2024-02-27
632,CID0335,P7189,clicked,2024-01-16
633,CID0319,P6184,viewed,2024-07-16
